object	rc	first error
nodeSetOp.o	0	
nodeSort.o	0	
nodeSubplan.o	0	
nodeSubqueryscan.o	0	
nodeTableFuncscan.o	0	
nodeTidrangescan.o	0	
nodeTidscan.o	0	
nodeUnique.o	0	
nodeValuesscan.o	0	
nodeWindowAgg.o	0	
nodeWorktablescan.o	0	
numeric.o	0	
numutils.o	0	
objectaccess.o	0	
objectaddress.o	0	
oid.o	0	
opclasscmds.o	0	
operatorcmds.o	0	
oracle_compat.o	0	
orclauses.o	0	
orderedsetaggs.o	0	
origin.o	0	
outfuncs.o	0	
pairingheap.o	0	
parallel.o	0	
paramassign.o	0	
params.o	0	
parse_agg.o	0	
parse_clause.o	0	
parse_coerce.o	0	
parse_collate.o	0	
parse_cte.o	0	
parse_enr.o	0	
parse_expr.o	0	
parse_func.o	0	
parse_jsontable.o	0	
parse_manifest.o	0	
parse_manifest_shlib.o	0	
parse_manifest_srv.o	0	
parse_merge.o	0	
parse_node.o	0	
parse_oper.o	0	
parse_param.o	0	
parse_relation.o	0	
parse_target.o	0	
parse_type.o	0	
parse_utilcmd.o	0	
parser.o	0	
partbounds.o	0	
partcache.o	0	
partdesc.o	0	
partition.o	0	
partitionfuncs.o	0	
partprune.o	0	
path.o	0	
path_shlib.o	0	
path_srv.o	0	
pathkeys.o	0	
pathnode.o	0	
percentrepl.o	0	
percentrepl_shlib.o	0	
percentrepl_srv.o	0	
pg_aggregate.o	0	
pg_attrdef.o	0	
pg_bitutils.o	0	
pg_bitutils_shlib.o	0	
pg_bitutils_srv.o	0	
pg_cast.o	0	
pg_class.o	0	
pg_collation.o	0	
pg_config.o	0	
pg_constraint.o	0	
pg_controldata.o	0	
pg_conversion.o	0	
pg_crc.o	0	
pg_crc32c_sb8.o	0	
pg_crc32c_sb8_shlib.o	0	
pg_crc32c_sb8_srv.o	0	
pg_db_role_setting.o	0	
pg_depend.o	0	
pg_enum.o	0	
pg_get_line.o	0	
pg_get_line_shlib.o	0	
pg_get_line_srv.o	0	
pg_inherits.o	0	
pg_largeobject.o	0	
pg_locale.o	0	
pg_lsn.o	0	
pg_lzcompress.o	0	
pg_lzcompress_shlib.o	0	
pg_lzcompress_srv.o	0	
pg_namespace.o	0	
pg_operator.o	0	
pg_parameter_acl.o	0	
pg_prng.o	0	
pg_prng_shlib.o	0	
pg_prng_srv.o	0	
pg_proc.o	0	
pg_publication.o	0	
pg_range.o	0	
pg_rusage.o	0	
pg_sema.o	0	
pg_shdepend.o	0	
pg_shmem.o	0	
pg_strong_random.o	0	
pg_strong_random_shlib.o	0	
pg_strong_random_srv.o	0	
pg_subscription.o	0	
pg_type.o	0	
pg_upgrade_support.o	0	
pgarch.o	0	
pgcheckdir.o	0	
pgcheckdir_shlib.o	0	
pgcheckdir_srv.o	0	
pgfnames.o	0	
pgfnames_shlib.o	0	
pgfnames_srv.o	0	
pgmkdirp.o	0	
pgmkdirp_shlib.o	0	
pgmkdirp_srv.o	0	
pgsleep.o	0	
pgsleep_shlib.o	0	
pgsleep_srv.o	0	
pgstat.o	0	
pgstat_archiver.o	0	
pgstat_bgwriter.o	0	
pgstat_checkpointer.o	0	
pgstat_database.o	0	
pgstat_function.o	0	
pgstat_io.o	0	
pgstat_relation.o	0	
pgstat_replslot.o	0	
pgstat_shmem.o	0	
pgstat_slru.o	0	
pgstat_subscription.o	0	
pgstat_wal.o	0	
pgstat_xact.o	0	
pgstatfuncs.o	0	
pgstrcasecmp.o	0	
pgstrcasecmp_shlib.o	0	
pgstrcasecmp_srv.o	0	
pgstrsignal.o	0	
pgstrsignal_shlib.o	0	
pgstrsignal_srv.o	0	
pgtz.o	0	
placeholder.o	0	
planagg.o	0	
plancache.o	0	
plancat.o	0	
planmain.o	0	
planner.o	0	
pmsignal.o	0	
policy.o	0	
portalcmds.o	0	
portalmem.o	0	
postgres.o	0	
postinit.o	0	
postmaster.o	0	
pqcomm.o	0	
pqformat.o	0	
pqmq.o	0	
pqsignal.o	0	
pqsignal_shlib.o	0	
pqsignal_srv.o	0	
pquery.o	0	
predicate.o	0	
predtest.o	0	
prepagg.o	0	
prepare.o	0	
prepjointree.o	0	
prepqual.o	0	
preptlist.o	0	
prepunion.o	0	
print.o	0	
printsimple.o	0	
printtup.o	0	
proc.o	0	
procarray.o	0	
proclang.o	0	
procsignal.o	0	
proto.o	0	
pruneheap.o	0	
ps_status.o	0	
pseudorandomfuncs.o	0	
pseudotypes.o	0	
psprintf.o	0	
psprintf_shlib.o	0	
psprintf_srv.o	0	
publicationcmds.o	0	
qsort.o	0	
qsort_arg.o	0	
qsort_arg_shlib.o	0	
qsort_arg_srv.o	0	
qsort_interruptible.o	0	
qsort_shlib.o	0	
qsort_srv.o	0	
queryenvironment.o	0	
queryjumblefuncs.o	0	
quote.o	0	
quotes.o	0	
quotes_shlib.o	0	
quotes_srv.o	0	
rangetypes.o	0	
rangetypes_gist.o	0	
rangetypes_selfuncs.o	0	
rangetypes_spgist.o	0	
rangetypes_typanalyze.o	0	
rbtree.o	0	
read.o	0	
read_stream.o	0	
readfuncs.o	0	
regcomp.o	0	
regerror.o	0	
regexec.o	0	
regexp.o	0	
regexport.o	0	
regfree.o	0	
regis.o	0	
regprefix.o	0	
regproc.o	0	
reinit.o	0	
relation.o	0	
relcache.o	0	
relfilenumbermap.o	0	
relmapdesc.o	0	
relmapper.o	0	
relnode.o	0	
reloptions.o	0	
relpath.o	0	
relpath_shlib.o	0	
relpath_srv.o	0	
reorderbuffer.o	0	
repl_gram.o	0	
repl_scanner.o	0	
replorigindesc.o	0	
resowner.o	0	
restricted_token.o	0	
restricted_token_shlib.o	0	
restrictinfo.o	0	
rewriteDefine.o	0	
rewriteHandler.o	0	
rewriteManip.o	0	
rewriteRemove.o	0	
rewriteSearchCycle.o	0	
rewriteSupport.o	0	
rewriteheap.o	0	
ri_triggers.o	0	
rls.o	0	
rmgr.o	0	
rmgrdesc_utils.o	0	
rmtree.o	0	
rmtree_shlib.o	0	
rmtree_srv.o	0	
rowsecurity.o	0	
rowtypes.o	0	
ruleutils.o	0	
s_lock.o	0	
sampling.o	0	
saslprep.o	0	
saslprep_shlib.o	0	
saslprep_srv.o	0	
scan.o	0	
scankey.o	0	
scansup.o	0	
schemacmds.o	0	
scram-common.o	0	
scram-common_shlib.o	0	
scram-common_srv.o	0	
seclabel.o	0	
selfuncs.o	0	
seqdesc.o	0	
sequence.o	0	
session.o	0	
setrefs.o	0	
sha1.o	0	
sha1_shlib.o	0	
sha1_srv.o	0	
sha2.o	0	
sha2_shlib.o	0	
sha2_srv.o	0	
sharedfileset.o	0	
sharedtuplestore.o	0	
shell_archive.o	0	
shm_mq.o	0	
shm_toc.o	0	
shmem.o	0	
signalfuncs.o	0	
sinval.o	0	
sinvaladt.o	0	
slab.o	0	
slot.o	0	
slotfuncs.o	0	
slotsync.o	0	
slru.o	0	
smgr.o	0	
smgrdesc.o	0	
snapbuild.o	0	
snapmgr.o	0	
snprintf.o	0	
snprintf_shlib.o	0	
snprintf_srv.o	0	
sortsupport.o	0	
spccache.o	0	
spell.o	0	
spgdesc.o	0	
spgdoinsert.o	0	
spginsert.o	0	
spgkdtreeproc.o	0	
spgproc.o	0	
spgquadtreeproc.o	0	
spgscan.o	0	
spgtextproc.o	0	
spgutils.o	0	
spgvacuum.o	0	
spgvalidate.o	0	
spgxlog.o	0	
spi.o	0	
spin.o	0	
sprompt.o	0	
sprompt_shlib.o	0	
standby.o	0	
standbydesc.o	0	
startup.o	0	
statscmds.o	0	
storage.o	0	
strerror.o	0	
strerror_shlib.o	0	
strerror_srv.o	0	
strftime.o	0	
string.o	0	
string_shlib.o	0	
string_srv.o	0	
stringinfo.o	0	
stringinfo_mb.o	0	
stringinfo_shlib.o	0	
stringinfo_srv.o	0	
subscriptioncmds.o	0	
subselect.o	0	
subtrans.o	0	
superuser.o	0	
sync.o	0	
syncrep.o	0	
syncrep_gram.o	0	
syncrep_scanner.o	0	
syncscan.o	0	
syscache.o	0	
syslogger.o	0	
system.o	0	
table.o	0	
tableam.o	0	
tableamapi.o	0	
tablecmds.o	0	
tablesample.o	0	
tablespace.o	0	
tablesync.o	0	
tar.o	0	
tar_shlib.o	0	
tar_srv.o	0	
tblspcdesc.o	0	
tid.o	0	
tidbitmap.o	0	
tidpath.o	0	
tidstore.o	0	
timeline.o	0	
timeout.o	0	
timestamp.o	0	
tlist.o	0	
to_tsany.o	0	
toast_compression.o	0	
toast_helper.o	0	
toast_internals.o	0	
toasting.o	0	
tqueue.o	0	
transam.o	0	
trigfuncs.o	0	
trigger.o	0	
ts_cache.o	0	
ts_locale.o	0	
ts_parse.o	0	
ts_selfuncs.o	0	
ts_typanalyze.o	0	
ts_utils.o	0	
tsearchcmds.o	0	
tsginidx.o	0	
tsgistidx.o	0	
tsquery.o	0	
tsquery_cleanup.o	0	
tsquery_gist.o	0	
tsquery_op.o	0	
tsquery_rewrite.o	0	
tsquery_util.o	0	
tsrank.o	0	
tstoreReceiver.o	0	
tsvector.o	0	
tsvector_op.o	0	
tsvector_parser.o	0	
tupconvert.o	0	
tupdesc.o	0	
tuplesort.o	0	
tuplesortvariants.o	0	
tuplestore.o	0	
twophase.o	0	
twophase_rmgr.o	0	
typcache.o	0	
typecmds.o	0	
tzparser.o	0	
unicode_case.o	0	
unicode_case_shlib.o	0	
unicode_case_srv.o	0	
unicode_category.o	0	
unicode_category_shlib.o	0	
unicode_category_srv.o	0	
unicode_norm.o	0	
unicode_norm_shlib.o	0	
unicode_norm_srv.o	0	
user.o	0	
user_shlib.o	0	
user_srv.o	0	
usercontext.o	0	
username.o	0	
username_shlib.o	0	
username_srv.o	0	
utility.o	0	
uuid.o	0	
vacuum.o	0	
vacuumlazy.o	0	
vacuumparallel.o	0	
value.o	0	
var.o	0	
varbit.o	0	
varchar.o	0	
variable.o	0	
varlena.o	0	
varsup.o	0	
